iter	Logloss
0	0.4562081685
1	0.3028303558
2	0.2133668642
3	0.1490142385
4	0.112182977
5	0.07295595706
6	0.05444519361
7	0.04371386425
8	0.03703144973
9	0.03170739775
10	0.02845204327
11	0.02544498375
12	0.02386325216
13	0.02273266738
14	0.02108414503
15	0.02027566996
16	0.01945267269
17	0.01875655853
18	0.01836668087
19	0.01795938592
20	0.01732576099
21	0.0170989004
22	0.01666243425
23	0.01639343051
24	0.0162190413
25	0.01604947933
26	0.01593941598
27	0.01582515778
28	0.01558862736
29	0.01532704331
30	0.01511723646
31	0.01509652878
32	0.014994628
33	0.0149156594
34	0.01481254289
35	0.01467917426
36	0.01465212742
37	0.01451967174
38	0.01435174579
39	0.01421144185
40	0.01411157154
41	0.01405042094
42	0.01404196498
43	0.01388768595
44	0.01379972526
45	0.01373797443
46	0.01362326903
47	0.01354292476
48	0.01346255026
49	0.01344370507
50	0.01336969636
51	0.01336364564
52	0.01329340003
53	0.01318859255
54	0.01316301615
55	0.01312391373
56	0.01298439862
57	0.01292317954
58	0.01285893157
59	0.01282814734
60	0.01281234937
61	0.01271173228
62	0.0127012231
63	0.01265005289
64	0.01259161486
65	0.01253133952
66	0.01246036161
67	0.01238376266
68	0.01234995925
69	0.01230303671
70	0.01227862243
71	0.01226550715
72	0.0122414465
73	0.01219400363
74	0.01217393923
75	0.01213083153
76	0.0120697489
77	0.0119936247
78	0.01195096469
79	0.01191602627
80	0.01189601405
81	0.01189158741
82	0.01181846323
83	0.01177998211
84	0.01176081957
85	0.01171801468
86	0.01169392921
87	0.01165877179
88	0.01159531807
89	0.01154366274
90	0.01150012608
91	0.01147250772
92	0.01144866015
93	0.01141906088
94	0.011377498
95	0.01134540003
96	0.01126617132
97	0.01118854505
98	0.01115260303
99	0.01111390164
100	0.01109074725
101	0.01108670476
102	0.01108076467
103	0.0110311314
104	0.01100076895
105	0.01098009442
106	0.01092194547
107	0.01087130083
108	0.01083883917
109	0.01080388342
110	0.01078223113
111	0.01077633177
112	0.01076050166
113	0.01075655666
114	0.01069237098
115	0.01064802757
116	0.01063146121
117	0.01062373038
118	0.01059629412
119	0.01055160226
120	0.01051960912
121	0.01051661421
122	0.01048271365
123	0.01044105468
124	0.01039504554
125	0.01036810732
126	0.01033710145
127	0.01029387958
128	0.01025932583
129	0.01024094774
130	0.0102344411
131	0.01023025662
132	0.0102133629
133	0.01020226685
134	0.01017940631
135	0.01016736411
136	0.01014489221
137	0.0101241372
138	0.01010443266
139	0.01008656008
140	0.01005377801
141	0.01004084052
142	0.01003717581
143	0.01001597475
144	0.01000374897
145	0.00999076015
146	0.009974107164
147	0.009945754667
148	0.009923151517
149	0.00990527605
150	0.009891805473
151	0.009876494691
152	0.009849886178
153	0.009815657608
154	0.009795350642
155	0.009787899506
156	0.009780429881
157	0.009770039805
158	0.009746536621
159	0.009722103714
160	0.009703499901
161	0.009675546122
162	0.009647906131
163	0.009631652169
164	0.009622327072
165	0.009596604999
166	0.009572314504
167	0.009550716641
168	0.009538199564
169	0.009518121409
170	0.009489920344
171	0.009480680647
172	0.009453359801
173	0.009451748242
174	0.009450225821
175	0.009434934766
176	0.009413005418
177	0.009391428758
178	0.009382742133
179	0.009380278432
180	0.00936381172
181	0.009360511164
182	0.009345509426
183	0.009325977973
184	0.009325977216
185	0.009311886816
186	0.00929050596
187	0.009273557714
188	0.009265013278
189	0.009245589695
190	0.009225113298
191	0.009196970709
192	0.009189018872
193	0.009169434139
194	0.009159024923
195	0.009132469944
196	0.009105644616
197	0.009082273996
198	0.009066834041
199	0.009047891064
200	0.00901840093
201	0.00899443754
202	0.008972560135
203	0.008955197106
204	0.008942911753
205	0.008928266032
206	0.008919205865
207	0.008909220582
208	0.008893391187
209	0.008869542406
210	0.008842503567
211	0.008834740858
212	0.008808236133
213	0.008802152222
214	0.008788080606
215	0.008771448431
216	0.008757106489
217	0.008737558624
218	0.008736024205
219	0.008720554287
220	0.008697998578
221	0.008697995928
222	0.008697989744
223	0.008688231677
224	0.008681253244
225	0.008668494534
226	0.008655534075
227	0.008645461181
228	0.008634075216
229	0.00861786592
230	0.00859960584
231	0.008587429205
232	0.008572548175
233	0.00855560562
234	0.008551287445
235	0.008544584624
236	0.008531369037
237	0.008518712329
238	0.008512055791
239	0.008487397508
240	0.008466119927
241	0.008449239303
242	0.008441160021
