iter	Passed	Remaining
201	6581	9709
202	6612	9674
203	6643	9639
204	6675	9606
205	6706	9571
206	6737	9537
207	6768	9502
208	6800	9468
209	6835	9439
210	6869	9408
211	6899	9372
212	6932	9340
213	6964	9307
214	7000	9280
215	7038	9254
216	7074	9226
217	7104	9189
218	7133	9153
219	7169	9124
220	7200	9089
221	7223	9045
222	7248	9003
223	7281	8972
224	7311	8936
225	7341	8901
226	7375	8869
227	7408	8837
228	7442	8807
229	7471	8771
230	7502	8736
231	7534	8704
232	7567	8671
233	7597	8636
234	7628	8601
235	7662	8571
236	7695	8539
237	7728	8507
238	7761	8475
239	7796	8446
240	7830	8415
241	7862	8382
242	7891	8346
243	7921	8311
244	7954	8279
245	7988	8248
246	8021	8216
247	8056	8186
248	8084	8149
249	8108	8108
250	8135	8070
251	8167	8037
252	8195	8001
253	8221	7962
254	8249	7925
255	8276	7888
256	8300	7848
257	8328	7812
258	8351	7770
259	8377	7733
260	8402	7694
261	8430	7658
262	8464	7628
263	8498	7597
264	8532	7566
265	8567	7536
266	8600	7505
267	8636	7476
268	8669	7444
269	8695	7407
270	8731	7378
271	8758	7341
272	8793	7312
273	8829	7282
274	8862	7251
275	8898	7222
276	8933	7192
277	8967	7160
278	9000	7129
279	9036	7099
280	9071	7069
281	9107	7040
282	9137	7006
283	9171	6975
284	9196	6938
285	9223	6901
286	9246	6862
287	9273	6826
288	9304	6792
289	9329	6756
290	9357	6720
291	9382	6683
292	9410	6648
293	9437	6612
294	9462	6575
295	9490	6540
296	9516	6504
297	9542	6468
298	9568	6432
299	9594	6396
300	9623	6362
301	9650	6327
302	9674	6290
303	9703	6256
304	9730	6220
305	9758	6186
306	9786	6152
307	9810	6115
308	9838	6081
309	9861	6044
310	9883	6006
311	9911	5972
312	9942	5940
313	9972	5907
314	9998	5872
315	10024	5837
316	10055	5804
317	10084	5771
318	10109	5735
319	10139	5703
320	10171	5672
321	10199	5638
322	10221	5601
323	10250	5567
324	10276	5533
325	10302	5498
326	10331	5465
327	10356	5430
328	10383	5397
329	10413	5364
330	10439	5329
331	10465	5295
332	10494	5263
333	10523	5230
334	10551	5196
335	10579	5163
336	10605	5129
337	10635	5097
338	10661	5063
339	10686	5028
340	10713	4995
341	10737	4960
342	10763	4926
343	10787	4891
344	10812	4857
345	10838	4824
346	10865	4790
347	10891	4757
348	10925	4727
349	10954	4694
350	10981	4661
351	11005	4627
352	11032	4594
353	11059	4561
354	11086	4528
355	11112	4494
356	11144	4464
357	11173	4432
358	11199	4398
359	11230	4367
360	11257	4334
361	11281	4300
362	11310	4268
363	11340	4237
364	11361	4202
365	11391	4170
366	11416	4137
367	11444	4104
368	11473	4073
369	11498	4039
370	11525	4007
371	11551	3974
372	11579	3942
373	11600	3908
374	11628	3876
375	11657	3844
376	11683	3811
377	11712	3780
378	11734	3746
379	11761	3714
380	11790	3682
381	11815	3649
382	11836	3615
383	11860	3582
384	11882	3549
385	11917	3519
386	11944	3487
387	11975	3456
388	12009	3426
389	12040	3395
390	12070	3365
391	12095	3332
392	12122	3300
393	12153	3269
394	12182	3238
395	12208	3206
396	12235	3174
397	12260	3142
398	12288	3110
399	12319	3079
400	12345	3047
401	12373	3016
402	12399	2984
403	12425	2952
404	12454	2921
405	12479	2889
406	12506	2857
407	12534	2826
408	12559	2794
409	12583	2762
410	12608	2730
411	12636	2698
412	12664	2667
413	12690	2636
414	12723	2606
415	12747	2573
416	12780	2543
417	12805	2512
418	12833	2480
419	12860	2449
420	12893	2419
421	12925	2389
422	12958	2358
423	12991	2328
424	13018	2297
425	13038	2264
426	13065	2233
427	13091	2202
428	13123	2171
429	13148	2140
430	13171	2108
431	13194	2076
432	13215	2044
433	13236	2012
434	13256	1980
435	13278	1949
436	13300	1917
437	13320	1885
438	13343	1854
439	13365	1822
440	13386	1790
441	13410	1759
442	13433	1728
443	13453	1696
444	13474	1665
445	13495	1634
446	13519	1602
447	13541	1571
448	13563	1540
449	13586	1509
450	13608	1478
451	13631	1447
452	13660	1417
453	13684	1386
454	13710	1355
455	13729	1324
456	13751	1293
457	13773	1263
458	13795	1232
459	13816	1201
460	13839	1170
461	13860	1140
462	13884	1109
463	13911	1079
464	13937	1049
465	13959	1018
466	13981	987
467	14004	957
468	14025	927
469	14047	896
470	14071	866
471	14092	835
472	14119	805
473	14141	775
474	14164	745
475	14187	715
476	14207	685
477	14229	654
478	14250	624
479	14270	594
480	14291	564
481	14312	534
482	14336	504
483	14357	474
484	14378	444
485	14401	414
486	14424	385
487	14445	355
488	14469	325
489	14490	295
490	14511	265
491	14533	236
492	14559	206
493	14583	177
494	14604	147
495	14625	117
496	14647	88
497	14668	58
498	14691	29
499	14713	0
